"","author","year","region","species","family","genus","environment","climate","red.list","feeding.type","feeding.habit","TL","min.size","float.meth","dig.meth","count.meth","polymer.meth","polymer.ID","blanks","maj.fib","maj.under.one.mm","maj.polymer","maj.col","exclude.fib","fork.lengthprod","total.lengthprod","Wprod","GWprod","N","IRprod","Mpsgutprod","SDMPsgutprod","fork.length","total.length","W","GW","IR","Mpsgut","SDMPsgut","study"
"217","Markic et al.","2018","Pacific, Eastern Central","Coryphaena hippurus","Coryphaenidae","Coryphaena","Pelagic-neritic","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.4,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,1486,109100,NA,10,2,20,19,NA,148.6,10910,NA,0.2,2,1.9,"Markic et al.2018"
"218","Markic et al.","2018","Pacific, Eastern Central","Ctenchaetus striatus","Acanthuridae","Acanthurus","Reef-associated","Tropical","Least Concern","plants/detritus+animals","grazing on aquatic plants",2,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,1181.6,9055.2,NA,56,12.996,72.2,103.1,NA,21.1,161.7,NA,0.232071428571429,1.28928571428571,1.84107142857143,"Markic et al.2018"
"219","Markic et al.","2018","Pacific, Eastern Central","Decapterus macrosoma","Carangidae","Decapterus","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3.4,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,512.5,1700,NA,25,7,27.5,25,NA,20.5,68,NA,0.28,1.1,1,"Markic et al.2018"
"220","Markic et al.","2018","Pacific, Southeast","Decapterus muroadsi","Carangidae","Decapterus","Pelagic-oceanic","Tropical","Least Concern","mainly animals","selective plankton feeding",3.4,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,575,2975,NA,25,16,60,75,NA,23,119,NA,0.64,2.4,3,"Markic et al.2018"
"221","Markic et al.","2018","Pacific, Eastern Central","Ellochelon vaigiensis","Mugilidae","Ellochelon","Reef-associated","Tropical","Least Concern","mainly plants/detritus","selective plankton feeding",2.2,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,1023,11035.2,NA,33,16.005,141.9,323.4,NA,31,334.4,NA,0.485,4.3,9.8,"Markic et al.2018"
"222","Markic et al.","2018","Pacific, Southwest","Girella tricuspidata","Kyphosidae","Girella","Benthopelagic","Temperate","Not Evaluated","mainly plants/detritus","grazing on aquatic plants",2.1,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,696,13722,NA,20,14,118,116,NA,34.8,686.1,NA,0.7,5.9,5.8,"Markic et al.2018"
"223","Markic et al.","2018","Pacific, Eastern Central","Gnathodentex aureolineatus","Lethrinidae","Gnathodentex","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3.7,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,725,7632.8,NA,29,2.001,29,0,NA,25,263.2,NA,0.069,1,0,"Markic et al.2018"
"224","Markic et al.","2018","Pacific, Southeast","Heteropriacanthus cruentatus","Priacanthidae","Heteropriacanthus","Reef-associated","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.6,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,367,NA,NA,10,3,10,32,NA,36.7,NA,NA,0.3,1,3.2,"Markic et al.2018"
"225","Markic et al.","2018","Pacific, Southwest","Hyporhamphus ihi","Hemiramphidae","Hyporhamphus","Pelagic-neritic","Temperate","Not Evaluated","mainly animals","selective plankton feeding",3.2,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,597.6,784.8,NA,24,0,0,0,NA,24.9,32.7,NA,0,0,0,"Markic et al.2018"
"226","Markic et al.","2018","Pacific, Eastern Central","Katsuwonus pelamis","Scombridae","Katsuwonus","Pelagic-oceanic","Tropical","Least Concern","mainly animals","hunting macrofauna",4.4,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,1809.6,156481,NA,26,6.006,39,26,NA,69.6,6018.5,NA,0.231,1.5,1,"Markic et al.2018"
"227","Markic et al.","2018","Pacific, Eastern Central","Lethrinus amboinensis","Lethrinidae","Lethrinus","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",4,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,993.2,17050.8,NA,26,6.006,44.2,39,NA,38.2,655.8,NA,0.231,1.7,1.5,"Markic et al.2018"
"228","Markic et al.","2018","Pacific, Eastern Central","Lethrinus obsoletus","Lethrinidae","Lethrinus","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3.9,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,807,7311,NA,30,3.99,39,48,NA,26.9,243.7,NA,0.133,1.3,1.6,"Markic et al.2018"
"229","Markic et al.","2018","Pacific, Eastern Central","Lutjanus gibbus","Lutjanidae","Lutjanus","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",4.1,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,939.6,14526.1,NA,29,6.989,49.3,0,NA,32.4,500.9,NA,0.241,1.7,0,"Markic et al.2018"
"230","Markic et al.","2018","Pacific, Southwest","Meuschenia scaber","Monacanthidae","Meuschenia","Demersal","Temperate","Not Evaluated","mainly animals","hunting macrofauna",3.1,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,513,5112.9,NA,19,6.992,38,41.8,NA,27,269.1,NA,0.368,2,2.2,"Markic et al.2018"
"231","Markic et al.","2018","Pacific, Southwest","Mugil cephalus","Mugilidae","Mugil","Benthopelagic","Subtropical","Least Concern","plants/detritus+animals","selective plankton feeding",2.5,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,NA,NA,NA,22,2.992,44,61.6,NA,NA,NA,NA,0.136,2,2.8,"Markic et al.2018"
"232","Markic et al.","2018","Pacific, Eastern Central","Naso lituratus","Acanthuridae","Acanthurus","Reef-associated","Tropical","Least Concern","mainly plants/detritus","grazing on aquatic plants",2.3,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,683.2,6762,NA,28,4.004,50.4,72.8,NA,24.4,241.5,NA,0.143,1.8,2.6,"Markic et al.2018"
"233","Markic et al.","2018","Pacific, Eastern Central","Naso unicornis","Acanthuridae","Acanthurus","Reef-associated","Tropical","Least Concern","mainly plants/detritus","grazing on aquatic plants",2.2,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,798,12588,NA,30,5.01,42,66,NA,26.6,419.6,NA,0.167,1.4,2.2,"Markic et al.2018"
"234","Markic et al.","2018","Pacific, Southwest","Nemadactylus macropterus","Cheilodactylidae","Nemadactylus","Demersal","Subtropical","Not Evaluated","mainly animals","hunting macrofauna",3.4,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,821.1,NA,NA,23,2.001,80.5,55.2,NA,35.7,NA,NA,0.087,3.5,2.4,"Markic et al.2018"
"235","Markic et al.","2018","Pacific, Southwest","Pagrus auratus","Sparidae","Pagrus","Reef-associated","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.6,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,723.8,NA,NA,22,0.99,22,0,NA,32.9,NA,NA,0.045,1,0,"Markic et al.2018"
"236","Markic et al.","2018","Pacific, Eastern Central","Scarus niger","Scaridae","Scarus","Reef-associated","Tropical","Least Concern","mainly plants/detritus","grazing on aquatic plants",2,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,759,10104,NA,30,6.99,33,81,NA,25.3,336.8,NA,0.233,1.1,2.7,"Markic et al.2018"
"237","Markic et al.","2018","Pacific, Eastern Central","Scarus oviceps","Scaridae","Scarus","Reef-associated","Tropical","Least Concern","mainly plants/detritus","grazing on aquatic plants",2,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,1134,10431,NA,45,4.995,126,481.5,NA,25.2,231.8,NA,0.111,2.8,10.7,"Markic et al.2018"
"238","Markic et al.","2018","Pacific, Eastern Central","Scarus psittacus","Scaridae","Scarus","Reef-associated","Tropical","Least Concern","mainly plants/detritus","grazing on aquatic plants",2,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,633,4944,NA,30,5.01,30,99,NA,21.1,164.8,NA,0.167,1,3.3,"Markic et al.2018"
"239","Markic et al.","2018","Pacific, Southeast","Schedophilus velaini","Centrolophidae","Schedophilus","Bathypelagic","Deep-water","Least Concern","mainly animals","hunting macrofauna",4.2,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,NA,NA,NA,14,7.994,35,26.6,NA,NA,NA,NA,0.571,2.5,1.9,"Markic et al.2018"
"240","Markic et al.","2018","Pacific, Southwest","Seriola lalandi","Carangidae","Seriola","Benthopelagic","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.2,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,NA,NA,NA,15,4.005,15,0,NA,NA,NA,NA,0.267,1,0,"Markic et al.2018"
"241","Markic et al.","2018","Pacific, Eastern Central","Siganus punctatus","Siganidae","Siganus","Reef-associated","Tropical","Least Concern","mainly plants/detritus","grazing on aquatic plants",2,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,611.9,4950.3,NA,29,4.002,52.2,78.3,NA,21.1,170.7,NA,0.138,1.8,2.7,"Markic et al.2018"
"242","Markic et al.","2018","Pacific, Eastern Central","Sphyraena forsteri","Sphyraenidae","Sphyraena","Reef-associated","Tropical","Not Evaluated","mainly animals","hunting macrofauna",4.4,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,696,10430.4,NA,12,2.004,18,20.4,NA,58,869.2,NA,0.167,1.5,1.7,"Markic et al.2018"
"243","Markic et al.","2018","Pacific, Eastern Central","Thunnus albacares","Scombridae","Thunnus","Pelagic-oceanic","Tropical","Near Threatened","mainly animals","hunting macrofauna",4.4,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,4303.6,303264.6,NA,58,14.996,91.2,62.5,NA,74.2,5228.7,NA,0.258551724137931,1.57241379310345,1.07758620689655,"Markic et al.2018"
"244","Markic et al.","2018","Pacific, Southeast","Thunnus albacares","Scombridae","Thunnus","Pelagic-oceanic","Tropical","Near Threatened","mainly animals","hunting macrofauna",4.4,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,742,52287,NA,10,7,31,35,NA,74.2,5228.7,NA,0.7,3.1,3.5,"Markic et al.2018"
"245","Markic et al.","2018","Pacific, Southeast","Thyrsites atun","Gempylidae","Thyrsites","Benthopelagic","Subtropical","Not Evaluated","mainly animals","hunting macrofauna",3.6,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,NA,NA,NA,28,8.988,53.2,0,NA,NA,NA,NA,0.321,1.9,0,"Markic et al.2018"
"246","Markic et al.","2018","Pacific, Southwest","Trachurus novaezelandiae","Carangidae","Trachurus","Pelagic-oceanic","Subtropical","Least Concern","","",3.2,63,"None","H2O2","Visual","FTIR","yes","no","no","yes","Polyester","Black","no",NA,880.4,6407.7,NA,31,0.992,31,0,NA,28.4,206.7,NA,0.032,1,0,"Markic et al.2018"
"247","McGoran et al","2016","Atlantic, Northeast","Platichthys flesus ","Pleuronectidae","Platichthys","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.3,500,"None","None","Visual","FTIR","yes","no","yes","no","Polyamide","Black","no",NA,NA,NA,NA,14,9.94,84.98,NA,NA,NA,NA,NA,0.71,6.07,NA,"McGoran et al2016"
"248","McGoran et al.","2018","Atlantic, Northeast","Agonus cataphractus","Agonidae","Agonus","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.4,500,"None","None","Visual","FTIR","yes","yes","yes","","Polyester","Clear","no",NA,NA,NA,NA,3,0,0,NA,NA,NA,NA,NA,0,0,NA,"McGoran et al.2018"
"249","McGoran et al.","2018","Atlantic, Northeast","Anguilla anguilla","Anguillidae","Anguilla","Demersal","Temperate","Critically Endangered","mainly animals","hunting macrofauna",3.6,500,"None","None","Visual","FTIR","yes","yes","yes","","Polyester","Clear","no",NA,NA,NA,NA,2,1,4,NA,NA,NA,NA,NA,0.5,2,NA,"McGoran et al.2018"
"250","McGoran et al.","2018","Atlantic, Northeast","Chelidonichthys cuculus","Triglidae","Chelidonichthys","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.8,500,"None","None","Visual","FTIR","yes","yes","yes","","Polyester","Clear","no",NA,NA,NA,NA,6,0,0,NA,NA,NA,NA,NA,0,0,NA,"McGoran et al.2018"
"251","McGoran et al.","2018","Atlantic, Northeast","Gadus morhua","Gadidae","Gadus","Benthopelagic","Temperate","Vulnerable","mainly animals","hunting macrofauna",4.1,500,"None","None","Visual","FTIR","yes","yes","yes","","Polyester","Clear","no",NA,NA,NA,NA,3,0,0,NA,NA,NA,NA,NA,0,0,NA,"McGoran et al.2018"
"252","McGoran et al.","2018","Atlantic, Northeast","Glyptocephalus cynoglossus","Pleuronectidae","Glyptocephalus","Demersal","Temperate","Not Evaluated","mainly animals","hunting macrofauna",3.2,500,"None","None","Visual","FTIR","yes","yes","yes","","Polyester","Clear","no",NA,NA,NA,NA,23,2.07,23,NA,NA,NA,NA,NA,0.09,1,NA,"McGoran et al.2018"
"253","McGoran et al.","2018","Atlantic, Northeast","Hippoglossoides platessoides","Pleuronectidae","Hippoglossoides","Demersal","Temperate","Not Evaluated","mainly animals","hunting macrofauna",4.1,500,"None","None","Visual","FTIR","yes","yes","yes","","Polyester","Clear","no",NA,NA,NA,NA,104,23.92,277.68,NA,NA,NA,NA,NA,0.23,2.67,NA,"McGoran et al.2018"
"254","McGoran et al.","2018","Atlantic, Northeast","Limanda limanda","Pleuronectidae","Limanda","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.4,500,"None","None","Visual","FTIR","yes","yes","yes","","Polyester","Clear","no",NA,NA,NA,NA,308,154.5,1383.5,NA,NA,NA,NA,NA,0.501623376623377,4.49188311688312,NA,"McGoran et al.2018"
"255","McGoran et al.","2018","Atlantic, Northeast","Melanogrammus aeglefinus","Gadidae","Melanogrammus","Demersal","Temperate","Vulnerable","mainly animals","hunting macrofauna",4,500,"None","None","Visual","FTIR","yes","yes","yes","","Polyester","Clear","no",NA,NA,NA,NA,6,6,34.98,NA,NA,NA,NA,NA,1,5.83,NA,"McGoran et al.2018"
"256","McGoran et al.","2018","Atlantic, Northeast","Merlangius merlangus","Gadidae","Merlangius","Benthopelagic","Temperate","Least Concern","mainly animals","hunting macrofauna",4.4,500,"None","None","Visual","FTIR","yes","yes","yes","","Polyester","Clear","no",NA,NA,NA,NA,29,2.9,135.43,NA,NA,NA,NA,NA,0.1,4.67,NA,"McGoran et al.2018"
"257","McGoran et al.","2018","Atlantic, Northeast","Myoxocephalus scorpius","Cottidae","Myoxocephalus","Demersal","Polar","Not Evaluated","mainly animals","hunting macrofauna",3.9,500,"None","None","Visual","FTIR","yes","yes","yes","","Polyester","Clear","no",NA,NA,NA,NA,5,0,0,NA,NA,NA,NA,NA,0,0,NA,"McGoran et al.2018"
"258","McGoran et al.","2018","Atlantic, Northeast","Pholis gunnellus","Pholidae","Pholis","Demersal","Polar","Not Evaluated","mainly animals","hunting macrofauna",3.5,500,"None","None","Visual","FTIR","yes","yes","yes","","Polyester","Clear","no",NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0,0,NA,"McGoran et al.2018"
"259","McGoran et al.","2018","Atlantic, Northeast","Phrynorhombus norvegicus","Scophthalmidae","Phrynorhombus","Benthopelagic","Temperate","Least Concern","mainly animals","hunting macrofauna",4,500,"None","None","Visual","FTIR","yes","yes","yes","","Polyester","Clear","no",NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0,0,NA,"McGoran et al.2018"
"260","McGoran et al.","2018","Atlantic, Northeast","Platichthys flesus","Pleuronectidae","Platichthys","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.3,500,"None","None","Visual","FTIR","yes","yes","yes","","Polyester","Clear","no",NA,NA,NA,NA,126,41.3,365.8,NA,NA,NA,NA,NA,0.327777777777778,2.9031746031746,NA,"McGoran et al.2018"
"261","McGoran et al.","2018","Atlantic, Northeast","Pleuronectes platessa","Pleuronectidae","Pleuronectes","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.2,500,"None","None","Visual","FTIR","yes","yes","yes","","Polyester","Clear","no",NA,NA,NA,NA,99,30.69,249.48,NA,NA,NA,NA,NA,0.31,2.52,NA,"McGoran et al.2018"
"262","McGoran et al.","2018","Atlantic, Northeast","Raja clavata","Rajidae","Raja","Demersal","Subtropical","Near Threatened","mainly animals","hunting macrofauna",3.8,500,"None","None","Visual","FTIR","yes","yes","yes","","Polyester","Clear","no",NA,NA,NA,NA,7,0.98,7,NA,NA,NA,NA,NA,0.14,1,NA,"McGoran et al.2018"
"263","McGoran et al.","2018","Atlantic, Northeast","Scyliorhinus canicula","Scyliorhinidae","Scyliorhinus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.8,500,"None","None","Visual","FTIR","yes","yes","yes","","Polyester","Clear","no",NA,NA,NA,NA,8,1.96,10.5,NA,NA,NA,NA,NA,0.245,1.3125,NA,"McGoran et al.2018"
"264","McGoran et al.","2018","Atlantic, Northeast","Solea solea","Soleidae","Solea","Demersal","Subtropical","Data deficient","mainly animals","hunting macrofauna",3.2,500,"None","None","Visual","FTIR","yes","yes","yes","","Polyester","Clear","no",NA,NA,NA,NA,18,3.06,18,NA,NA,NA,NA,NA,0.17,1,NA,"McGoran et al.2018"
"265","McGoran et al.","2018","Atlantic, Northeast","Taurulus bubalis","Cottidae","Taurulus","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.6,500,"None","None","Visual","FTIR","yes","yes","yes","","Polyester","Clear","no",NA,NA,NA,NA,3,2.01,6,NA,NA,NA,NA,NA,0.67,2,NA,"McGoran et al.2018"
"266","McGoran et al.","2018","Atlantic, Northeast","Trisopterus luscus","Gadidae","Trisopterus","Benthopelagic","Temperate","Not Evaluated","mainly animals","hunting macrofauna",3.7,500,"None","None","Visual","FTIR","yes","yes","yes","","Polyester","Clear","no",NA,NA,NA,NA,7,2.03,7,NA,NA,NA,NA,NA,0.29,1,NA,"McGoran et al.2018"
"267","McGoran et al.","2018","Atlantic, Northeast","Trisopterus minutus","Gadidae","Trisopterus","Benthopelagic","Temperate","Not Evaluated","mainly animals","hunting macrofauna",3.7,500,"None","None","Visual","FTIR","yes","yes","yes","","Polyester","Clear","no",NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0,0,NA,"McGoran et al.2018"
"268","Miranda & de Carvalho-Souza","2015","Atlantic, Southwest","Acanthurus coeruleus","Acanthuridae","Acanthurus","Reef-associated","Tropical","Least Concern","mainly plants/detritus","browsing on substrate",2,500,"None","None","Visual","None","no","no","no","no","","","yes",NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Miranda & de Carvalho-Souza2015"
"269","Miranda & de Carvalho-Souza","2015","Atlantic, Southwest","Caranx crysos","Carangidae","Caranx","Reef-associated","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.1,500,"None","None","Visual","None","no","no","no","no","","","yes",NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Miranda & de Carvalho-Souza2015"
"270","Miranda & de Carvalho-Souza","2015","Atlantic, Southwest","Dasyatis americana","Dasyatidae","Dasyatis","Reef-associated","Subtropical","Not Evaluated","mainly animals","variable",3.5,500,"None","None","Visual","None","no","no","no","no","","","yes",NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Miranda & de Carvalho-Souza2015"
"271","Miranda & de Carvalho-Souza","2015","Atlantic, Southwest","Lagocephalus laevigatus","Tetraodontidae","Lagocephalus","Pelagic-neritic","Subtropical","Least Concern","mainly animals","hunting macrofauna",4,500,"None","None","Visual","None","no","no","no","no","","","yes",NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Miranda & de Carvalho-Souza2015"
"272","Miranda & de Carvalho-Souza","2015","Atlantic, Southwest","Lutjanus analis","Lutjanidae","Lutjanus","Reef-associated","Tropical","Near Threatened","mainly animals","hunting macrofauna",3.9,500,"None","None","Visual","None","no","no","no","no","","","yes",NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Miranda & de Carvalho-Souza2015"
"273","Miranda & de Carvalho-Souza","2015","Atlantic, Southwest","Lutjanus jocu","Lutjanidae","Lutjanus","Reef-associated","Subtropical","Data deficient","mainly animals","hunting macrofauna",4.4,500,"None","None","Visual","None","no","no","no","no","","","yes",NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Miranda & de Carvalho-Souza2015"
"274","Miranda & de Carvalho-Souza","2015","Atlantic, Southwest","Mycteroperca rubra","Serranidae","Mycteroperca","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.1,500,"None","None","Visual","None","no","no","no","no","","","yes",NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Miranda & de Carvalho-Souza2015"
"275","Miranda & de Carvalho-Souza","2015","Atlantic, Southwest","Paralichthys brasiliensis","Paralichthyidae","Paralichthys","Demersal","Subtropical","Not Evaluated","","",4.4,500,"None","None","Visual","None","no","no","no","no","","","yes",NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Miranda & de Carvalho-Souza2015"
"276","Miranda & de Carvalho-Souza","2015","Atlantic, Southwest","Rhizoprionodon lalandii","Carcharhinidae","Rhizoprionodon","Demersal","Tropical","Data deficient","mainly animals","hunting macrofauna",4.3,500,"None","None","Visual","None","no","no","no","no","","","yes",NA,NA,NA,NA,6,3.75,NA,NA,NA,NA,NA,NA,0.625,NA,NA,"Miranda & de Carvalho-Souza2015"
"277","Miranda & de Carvalho-Souza","2015","Atlantic, Southwest","Scomberomorus cavalla","Carcharhinidae","Scomberomorus","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",4.4,500,"None","None","Visual","None","no","no","no","no","","","yes",NA,NA,NA,NA,8,2.64,NA,NA,NA,NA,NA,NA,0.33,NA,NA,"Miranda & de Carvalho-Souza2015"
"278","Miranda & de Carvalho-Souza","2015","Atlantic, Southwest","Sphyraena guachancho","Sphyraenidae","Sphyraena","Pelagic-neritic","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.4,500,"None","None","Visual","None","no","no","no","no","","","yes",NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Miranda & de Carvalho-Souza2015"
"279","Morgana et al.","2018","Atlantic, Northeast","Boreogadus saida","Gadidae","Boreogadus","Demersal","Polar","Not Evaluated","mainly animals","hunting macrofauna",3.1,20,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polyester","Blue","no",8245,NA,722.5,NA,85,15.3,NA,NA,97,NA,8.5,NA,0.18,NA,NA,"Morgana et al.2018"
"280","Morgana et al.","2018","Atlantic, Northeast","Triglops nybelini","Cottidae","Triglops","Demersal","Polar","Not Evaluated","mainly animals","hunting macrofauna",3.3,20,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polyester","Blue","no",5815.61,NA,518.3,NA,71,24.14,NA,NA,81.91,NA,7.3,NA,0.34,NA,NA,"Morgana et al.2018"
"281","Murphy et al.","2017","Atlantic, Northeast","Aphanopus carbo","Trichiuridae","Aphanopus","Bathypelagic","Deep-water","Not Evaluated","mainly animals","hunting macrofauna",4.5,500,"None","None","Visual","FTIR","yes","no","yes","yes","Polyamide","Black","no",NA,NA,NA,NA,5,0,0,0,NA,NA,NA,NA,0,0,0,"Murphy et al.2017"
"282","Murphy et al.","2017","Atlantic, Northeast","Argentina silus","Argentinidae","Argentina","Bathydemersal","Deep-water","Not Evaluated","mainly animals","selective plankton feeding",3.3,500,"None","None","Visual","FTIR","yes","no","yes","yes","Polyamide","Black","no",NA,NA,NA,NA,15,1.0005,1.5,3.9,NA,NA,NA,NA,0.0667,0.1,0.26,"Murphy et al.2017"
"283","Murphy et al.","2017","Atlantic, Northeast","Coryphaenoides rupestris","Macrouridae","Corphaenoides","Bathypelagic","Deep-water","Critically Endangered","mainly animals","hunting macrofauna",3.5,500,"None","None","Visual","FTIR","yes","no","yes","yes","Polyamide","Black","no",NA,NA,NA,NA,5,0,0,0,NA,NA,NA,NA,0,0,0,"Murphy et al.2017"
"284","Murphy et al.","2017","Atlantic, Northeast","Hippoglossus hippoglossus","Pleuronectidae","Hipposglossus","Demersal","Temperate","Endangered","mainly animals","hunting macrofauna",4,500,"None","None","Visual","FTIR","yes","no","yes","yes","Polyamide","Black","no",NA,NA,NA,NA,14,0,0,0,NA,NA,NA,NA,0,0,0,"Murphy et al.2017"
"285","Murphy et al.","2017","Atlantic, Northeast","Lepidorhombus whiffiagonis","Scophthalmidae","Lepidorhombus","Bathydemersal","Deep-water","Not Evaluated","mainly animals","hunting macrofauna",4.3,500,"None","None","Visual","FTIR","yes","no","yes","yes","Polyamide","Black","no",NA,NA,NA,NA,10,1,1,3.2,NA,NA,NA,NA,0.1,0.1,0.32,"Murphy et al.2017"
"286","Murphy et al.","2017","Atlantic, Northeast","Limanda limanda","Pleuronectidae","Limanda","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.4,500,"None","None","Visual","FTIR","yes","no","yes","yes","Polyamide","Black","no",NA,NA,NA,NA,19,8.9984,24.7,31.73,NA,NA,NA,NA,0.4736,1.3,1.67,"Murphy et al.2017"
"287","Murphy et al.","2017","Atlantic, Northeast","Micromesistius poutassou","Gadidae","Micromesistius","Bathypelagic","Temperate","Not Evaluated","mainly animals","hunting macrofauna",4.1,500,"None","None","Visual","FTIR","yes","no","yes","yes","Polyamide","Black","no",NA,NA,NA,NA,20,0,0,0,NA,NA,NA,NA,0,0,0,"Murphy et al.2017"
"288","Murphy et al.","2017","Atlantic, Northeast","Molva molva","Lotidae","Molva","Demersal","Temperate","Not Evaluated","mainly animals","hunting macrofauna",4.4,500,"None","None","Visual","FTIR","yes","no","yes","yes","Polyamide","Black","no",NA,NA,NA,NA,5,0,0,0,NA,NA,NA,NA,0,0,0,"Murphy et al.2017"
"289","Murphy et al.","2017","Atlantic, Northeast","Platichthys flesus","Pleuronectidae","Platichthys","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.3,500,"None","None","Visual","FTIR","yes","no","yes","yes","Polyamide","Black","no",NA,NA,NA,NA,47,23.9982,37.6,44.18,NA,NA,NA,NA,0.5106,0.8,0.94,"Murphy et al.2017"
"290","Murphy et al.","2017","Atlantic, Northeast","Pleuronectes platessa","Pleuronectidae","Pleuronectes","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",3.2,500,"None","None","Visual","FTIR","yes","no","yes","yes","Polyamide","Black","no",NA,NA,NA,NA,62,27.9992,55.8,110.98,NA,NA,NA,NA,0.4516,0.9,1.79,"Murphy et al.2017"
"291","Murphy et al.","2017","Atlantic, Northeast","Pollachius pollachius","Gadidae","Pollachius","Benthopelagic","Temperate","Least Concern","mainly animals","hunting macrofauna",4.3,500,"None","None","Visual","FTIR","yes","no","yes","yes","Polyamide","Black","no",NA,NA,NA,NA,5,0,0,0,NA,NA,NA,NA,0,0,0,"Murphy et al.2017"
