"","author","year","region","species","family","genus","environment","climate","red.list","feeding.type","feeding.habit","TL","min.size","float.meth","dig.meth","count.meth","polymer.meth","polymer.ID","blanks","maj.fib","maj.under.one.mm","maj.polymer","maj.col","exclude.fib","fork.lengthprod","total.lengthprod","Wprod","GWprod","N","IRprod","Mpsgutprod","SDMPsgutprod","fork.length","total.length","W","GW","IR","Mpsgut","SDMPsgut","study"
"40","Baalkhuyur et al.","2018","Indian Ocean, Western","Maurolicus mucronatus","Sternoptychidae","Maurolicus ","Bathypelagic","Deep-water","Not Evaluated","","",3.1,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,NA,NA,23.4,10,10,10,NA,NA,NA,NA,2.34,1,1,NA,"Baalkhuyur et al.2018"
"41","Baalkhuyur et al.","2018","Indian Ocean, Western","Naso unicornis","Acanthuridae","Naso","Reef-associated","Tropical","Least Concern","mainly plants/detritus","browsing on substrate",2.2,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,80,1802,260,2,0,0,NA,NA,40,901,130,0,0,NA,"Baalkhuyur et al.2018"
"42","Baalkhuyur et al.","2018","Indian Ocean, Western","Neoniphon sammara","Holocentridae","Neoniphon","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3.6,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,78.1,156,8,5,1,5,NA,NA,15.62,31.2,1.6,0.2,1,NA,"Baalkhuyur et al.2018"
"43","Baalkhuyur et al.","2018","Indian Ocean, Western","Parascolopsis eriomma","Nemipteridae","Parascolopsis","Demersal","Tropical","Not Evaluated","mainly animals","hunting macrofauna",3.5,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,116.5,855,20.65,5,3,15,NA,NA,23.3,171,4.13,0.6,3,NA,"Baalkhuyur et al.2018"
"44","Baalkhuyur et al.","2018","Indian Ocean, Western","Plectorhinchus gaterinus","Haemulidae","Plectorhinchus ","Reef-associated","Tropical","Not Evaluated","mainly animals","hunting macrofauna",4,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,159.18,1411.02,37.98,6,1.9998,12,NA,NA,26.53,235.17,6.33,0.3333,2,NA,"Baalkhuyur et al.2018"
"45","Baalkhuyur et al.","2018","Indian Ocean, Western","Pristipomoides multidens","Lutjanidae","Pristipomoides ","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",3.8,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,282,2367,54.7,10,2,20,NA,NA,28.2,236.7,5.47,0.2,2,NA,"Baalkhuyur et al.2018"
"46","Baalkhuyur et al.","2018","Indian Ocean, Western","Pristipomoides typus","Lutjanidae","Pristipomoides ","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",4.2,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,142.3,1261,18.55,5,0,0,NA,NA,28.46,252.2,3.71,0,0,NA,"Baalkhuyur et al.2018"
"47","Baalkhuyur et al.","2018","Indian Ocean, Western","Pygoplites diacanthus","Pomacanthidae","Pygoplites","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",2.7,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,70.3,370,38,5,0,0,NA,NA,14.06,74,7.6,0,0,NA,"Baalkhuyur et al.2018"
"48","Baalkhuyur et al.","2018","Indian Ocean, Western","Sargocentron spiniferum","Holocentridae","Sargocentron","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3.6,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,153.4,2135,59,5,0,0,NA,NA,30.68,427,11.8,0,0,NA,"Baalkhuyur et al.2018"
"49","Baalkhuyur et al.","2018","Indian Ocean, Western","Thalassoma rueppellii","Labridae","Thalassoma","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",3.5,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,193.44,591,15.96,12,0.9996,12,NA,NA,16.12,49.25,1.33,0.0833,1,NA,"Baalkhuyur et al.2018"
