author,study.habitat,from,year,region,location,species,life.stage,family,common.name,genus,environment,climate,red.list,feeding.type,feeding.habit,TL,fork.length,total.length,W,GW,N,Cature.meth,min.size,float.meth,dig.meth,count.meth,polymer.meth,polymer.ID,blanks,blank.conc,ingest.rate,Mpsgut,SDMPsgut,MPspergfish,SDMPspergfish,maj.fib,maj.under.one.mm,maj.polymer,maj.col,exclude.fib,notes
Avio et al.,Marine,Hailey,2015,Mediterranean and Black Sea,Adriatic Sea,Chelidonichthys lucerna,Adult,Triglidae,Tub gurnard,Chelidonichthys,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,4,,25.4,,8.8,3,,20,NaCl,H2O2,Visual,FTIR,yes,no,,67,1,0,,,,yes,Polyethylene,,no,
Avio et al.,Marine,Hailey,2015,Mediterranean and Black Sea,Adriatic Sea,Merluccius merluccius,Adult,Merlucciidae,European hake,Merlucius,Demersal,Temperate,Least Concern,mainly animals,hunting macrofauna,4.4,,35,,2.4,3,,20,NaCl,H2O2,Visual,FTIR,yes,no,,100,1.33,0.57,,,,yes,Polyethylene,,no,
Avio et al.,Marine,Hailey,2015,Mediterranean and Black Sea,Adriatic Sea,Mullus barbatus barbatus,Adult,Mullidae,Red mullet,Mullus,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.1,,14.7,,1.1,11,,20,NaCl,H2O2,Visual,FTIR,yes,no,,64,1.57,0.78,,,,yes,Polyethylene,,no,
Avio et al.,Marine,Hailey,2015,Mediterranean and Black Sea,Adriatic Sea,Sardina pilchardus,Adult,Clupeidae,European pilchard,Sardina,Pelagic-neritic,Subtropical,Least Concern,plants/detritus+animals,selective plankton feeding,3.1,,11.8,,0.78,99,,20,NaCl,H2O2,Visual,FTIR,yes,no,,19,1.78,0.7,,,,yes,Polyethylene,,no,
Avio et al.,Marine,Hailey,2015,Mediterranean and Black Sea,Adriatic Sea,Squalus acanthias,Adult,Squalidae,Picked dogfish,Squalus,Benthopelagic,Temperate,Vulnerable,mainly animals,hunting macrofauna,4.4,,47.6,,47.6,9,,20,NaCl,H2O2,Visual,FTIR,yes,no,,44,1.25,0.5,,,,yes,Polyethylene,,no,
Avio et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Giglio Island,Phycis phycis,Adult,Phycidae,Forkbeard,Phycis,Benthopelagic,Subtropical,Least Concern,mainly animals,hunting macrofauna,4.3,,33,,26,5,Gillnet,20,NaCl,H2O2,Visual,FTIR,yes,no,,80,1.75,0.25,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Giglio Island,Phycis phycis,Adult,Phycidae,Forkbeard,Phycis,Benthopelagic,Subtropical,Least Concern,mainly animals,hunting macrofauna,4.3,,31,,11,3,Gillnet,20,NaCl,H2O2,Visual,FTIR,yes,no,,100,5,1.41,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Giglio Island,Spondyliosoma cantharus,Adult,Sparidae,Black seabream,Spondyliosoma,Benthopelagic,Subtropical,Least Concern,mainly animals,variable,3.3,,29,,10,3,Gillnet,20,NaCl,H2O2,Visual,FTIR,yes,no,,100,2.3,1.15,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Giglio Island,Spondyliosoma cantharus,Adult,Sparidae,Black seabream,Spondyliosoma,Benthopelagic,Subtropical,Least Concern,mainly animals,variable,3.3,,33,,3,2,Gillnet,20,NaCl,H2O2,Visual,FTIR,yes,no,,100,5,0,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Giglio Island,Uranoscopus scaber,Adult,Uranoscopidae,Stargazer,Uranoscupus,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,4.4,,25,,25,6,Gillnet,20,NaCl,H2O2,Visual,FTIR,yes,no,,83,2.4,1.67,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Hailey,2017,Mediterranean and Black Sea,Giglio Island,Uranoscopus scaber,Adult,Uranoscopidae,Stargazer,Uranoscupus,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,4.4,,27,,17,3,Gillnet,20,NaCl,H2O2,Visual,FTIR,yes,no,,67,4,4.23,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Sardina pilchardus,Adult,Clupeidae,European pilchard,Sardina,Pelagic-neritic,Subtropical,Least Concern,plants/detritus+animals,selective plankton feeding,3.1,,12.6,18.1,,20,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,25,1.4,0.55,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Scomber scombrus,Adult,Scombridae,Atlantic mackerel,Scomber,Pelagic-neritic,Temperate,Least Concern,mainly animals,variable,3.6,,27.8,226.6,,10,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,30,1.3,0.58,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Trachurus trachurus,Adult,Carangidae,Atlantic horse mackerel,Trachurus,Pelagic-neritic,Subtropical,Vulnerable,mainly animals,hunting macrofauna,3.7,,21.5,86.9,,10,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,0,0,0,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Merluccius merluccius,Adult,Merlucciidae,European hake,Merluccius,Demersal,Temperate,Least Concern,mainly animals,hunting macrofauna,4.4,,20.4,62.9,,10,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,30,1.66,0.58,,,no,no,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Mullus barbatus barbatus,Adult,Mullidae,Red mullet,Mullus,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.1,,12.5,21,,10,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,0,0,0,,,no,yes,Polyethylene,,no,
Avio et al.,Marine,Garth,2019,Mediterranean and Black Sea,"Northern, Central and Southern Adriatic Sea",Chelidonichthys lucerna,Adult,Triglidae,Tub gurnard,Chelidonichthys,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,4,,31.8,342.9,,7,Local Fishermen,20,NaCl,H2O2,Visual,FTIR,yes,yes,3,14.3,2,0,,,no,yes,Polyethylene,,no,
